0,0,trainval/00j9bKdiOjk/50001,5.90,16000
0,1,trainval/00j9bKdiOjk/50002,5.90,16000
0,2,trainval/00j9bKdiOjk/50003,6.18,16000
1,0,trainval/01GWGmg5jn8/50001,1.90,16000
1,1,trainval/01GWGmg5jn8/50002,1.70,16000
1,2,trainval/01GWGmg5jn8/50003,6.10,16000
1,3,trainval/01GWGmg5jn8/50004,6.14,16000
1,4,trainval/01GWGmg5jn8/50005,5.18,16000
1,5,trainval/01GWGmg5jn8/50006,1.90,16000
1,6,trainval/01GWGmg5jn8/50007,3.22,16000
1,7,trainval/01GWGmg5jn8/50008,2.54,16000
1,8,trainval/01GWGmg5jn8/50009,6.14,16000
1,9,trainval/01GWGmg5jn8/50010,3.38,16000
1,10,trainval/01GWGmg5jn8/50012,1.34,16000
1,11,trainval/01GWGmg5jn8/50013,1.30,16000
1,12,trainval/01GWGmg5jn8/50014,2.14,16000
1,13,trainval/01GWGmg5jn8/50015,1.54,16000
1,14,trainval/01GWGmg5jn8/50016,3.10,16000
1,15,trainval/01GWGmg5jn8/50017,2.54,16000
1,16,trainval/01GWGmg5jn8/50018,0.98,16000
1,17,trainval/01GWGmg5jn8/50019,2.26,16000
1,18,trainval/01GWGmg5jn8/50020,2.26,16000
1,19,trainval/01GWGmg5jn8/50021,2.30,16000
1,20,trainval/01GWGmg5jn8/50022,5.90,16000
1,21,trainval/01GWGmg5jn8/50023,1.10,16000
1,22,trainval/01GWGmg5jn8/50024,1.34,16000
1,23,trainval/01GWGmg5jn8/50025,6.14,16000
2,0,trainval/03h0dNZoxr8/50001,2.58,16000
2,1,trainval/03h0dNZoxr8/50002,2.10,16000
2,2,trainval/03h0dNZoxr8/50003,1.66,16000
2,3,trainval/03h0dNZoxr8/50004,1.54,16000
2,4,trainval/03h0dNZoxr8/50005,1.94,16000
3,0,trainval/04SEzifEsGg/50002,5.46,16000
3,1,trainval/04SEzifEsGg/50003,2.18,16000
3,2,trainval/04SEzifEsGg/50004,1.18,16000
3,3,trainval/04SEzifEsGg/50005,2.90,16000
3,4,trainval/04SEzifEsGg/50006,1.46,16000
3,5,trainval/04SEzifEsGg/50007,1.98,16000
3,6,trainval/04SEzifEsGg/50008,1.42,16000
3,7,trainval/04SEzifEsGg/50009,1.74,16000
3,8,trainval/04SEzifEsGg/50012,1.54,16000
3,9,trainval/04SEzifEsGg/50013,2.54,16000
3,10,trainval/04SEzifEsGg/50014,1.94,16000
3,11,trainval/04SEzifEsGg/50015,2.10,16000
3,12,trainval/04SEzifEsGg/50016,1.26,16000
3,13,trainval/04SEzifEsGg/50017,1.62,16000
3,14,trainval/04SEzifEsGg/50018,3.02,16000
3,15,trainval/04SEzifEsGg/50021,1.54,16000
3,16,trainval/04SEzifEsGg/50022,1.18,16000
3,17,trainval/04SEzifEsGg/50023,1.34,16000
3,18,trainval/04SEzifEsGg/50024,3.54,16000
3,19,trainval/04SEzifEsGg/50025,1.90,16000
3,20,trainval/04SEzifEsGg/50026,2.38,16000
3,21,trainval/04SEzifEsGg/50027,1.26,16000
3,22,trainval/04SEzifEsGg/50028,2.82,16000
3,23,trainval/04SEzifEsGg/50030,2.66,16000
